Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
aurelia-signet-ring,Aurelia Signet Ring,"<p>A weighty signet in 14k gold vermeil, hand-polished to a mirror finish. The kind of piece that becomes part of your hand.</p><p>14 karat vermeil over recycled sterling silver. Delivered in our signature gift box with a care kit and a lifetime warranty card.</p>",Maison Vermeil,Ring,"gold, signet, unisex",TRUE,Size,5,MV-AUR-5,50,shopify,12,deny,manual,149,189,TRUE,TRUE,https://raw.githubusercontent.com/Refaltor77/vermeil-demo-assets/main/aurelia-signet-ring.png,Aurelia Signet Ring on dark background,active
aurelia-signet-ring,,,,,,,Size,6,MV-AUR-6,50,shopify,12,deny,manual,149,189,TRUE,TRUE,,,
aurelia-signet-ring,,,,,,,Size,7,MV-AUR-7,50,shopify,12,deny,manual,149,189,TRUE,TRUE,,,
aurelia-signet-ring,,,,,,,Size,8,MV-AUR-8,50,shopify,3,deny,manual,149,189,TRUE,TRUE,,,
celeste-solitaire-ring,Celeste Solitaire Ring,"<p>One stone, held high. A white topaz set on a fine vermeil band, cut to catch candlelight.</p><p>14 karat vermeil over recycled sterling silver. Delivered in our signature gift box with a care kit and a lifetime warranty card.</p>",Maison Vermeil,Ring,"gold, solitaire, stone",TRUE,Size,5,MV-CEL-5,50,shopify,12,deny,manual,189,239,TRUE,TRUE,https://raw.githubusercontent.com/Refaltor77/vermeil-demo-assets/main/celeste-solitaire-ring.png,Celeste Solitaire Ring on dark background,active
celeste-solitaire-ring,,,,,,,Size,6,MV-CEL-6,50,shopify,12,deny,manual,189,239,TRUE,TRUE,,,
celeste-solitaire-ring,,,,,,,Size,7,MV-CEL-7,50,shopify,12,deny,manual,189,239,TRUE,TRUE,,,
celeste-solitaire-ring,,,,,,,Size,8,MV-CEL-8,50,shopify,3,deny,manual,189,239,TRUE,TRUE,,,
onyx-orbit-ring,Onyx Orbit Ring,<p>Black onyx on warm gold. A quiet contrast that reads from across the room.</p><p>14 karat vermeil over recycled sterling silver. Delivered in our signature gift box with a care kit and a lifetime warranty card.</p>,Maison Vermeil,Ring,"gold, onyx, stone",TRUE,Size,5,MV-ONY-5,50,shopify,12,deny,manual,179,,TRUE,TRUE,https://raw.githubusercontent.com/Refaltor77/vermeil-demo-assets/main/onyx-orbit-ring.png,Onyx Orbit Ring on dark background,active
onyx-orbit-ring,,,,,,,Size,6,MV-ONY-6,50,shopify,12,deny,manual,179,,TRUE,TRUE,,,
